id,ACTION
1,0.953725
2,0.976753
3,0.998535
4,0.997930
5,0.999612
6,0.998898
7,0.960135
8,0.999974
9,0.935718
10,0.974741
11,0.980743
12,0.985961
13,0.994681
14,0.821713
15,0.952690
16,0.953907
17,0.550157
18,0.810697
19,0.998870
20,0.997593
21,0.999510
22,0.997193
23,0.985536
24,0.985760
25,0.997331
26,0.951657
27,0.996248
28,0.993611
29,0.985493
30,0.904461
31,0.996143
32,0.987332
33,0.996235
34,0.996769
35,0.995028
36,0.991662
37,0.995117
38,0.999914
39,0.994537
40,0.972318
41,0.956729
42,0.996429
43,0.992267
44,0.995927
45,0.997379
46,0.992064
47,0.999630
48,0.990771
49,0.999977
50,0.999343
51,0.991937
52,0.996456
53,0.989544
54,0.998878
55,0.986605
56,0.996043
57,0.991277
58,0.999662
59,0.995684
60,0.994018
61,0.997881
62,0.998926
63,0.989929
64,0.998772
65,0.999166
66,0.995034
67,0.994848
68,0.999549
69,0.993750
70,0.701332
71,0.990053
72,0.992670
73,0.998436
74,0.999109
75,0.994473
76,0.999451
77,0.998806
78,0.979999
79,0.682376
80,0.999418
81,0.999880
82,0.998120
83,0.963524
84,0.997802
85,0.994556
86,0.968455
87,0.987185
88,0.998832
89,0.996947
90,0.822248
91,0.994562
92,0.809572
93,0.998265
94,0.992414
95,0.993655
96,0.999437
97,0.409979
98,0.999162
99,0.996042
100,0.998868
101,0.983843
102,0.276350
103,0.998233
104,0.992616
105,0.361151
106,0.997670
107,0.999588
108,0.984699
109,0.993313
110,0.987558
111,0.859307
112,0.983888
113,0.990804
114,0.999767
115,0.981870
116,0.977742
117,0.994745
118,0.960992
119,0.999541
120,0.987272
121,0.943529
122,0.992943
123,0.915208
124,0.998563
125,0.992573
126,0.852615
127,0.838209
128,0.961340
129,0.946738
130,0.998001
131,0.998495
132,0.999128
133,0.995249
134,0.921712
135,0.999425
136,0.976896
137,0.998541
138,0.935574
139,0.976010
140,0.999708
141,0.998955
142,0.980889
143,0.996696
144,0.996188
145,0.999857
146,0.713562
147,0.747590
148,0.813295
149,0.999558
150,0.991230
151,0.999267
152,0.825190
153,0.996798
154,0.969043
155,0.983527
156,0.975944
157,0.995005
158,0.996143
159,0.968463
160,0.983969
161,0.964290
162,0.997878
163,0.999299
164,0.985107
165,0.994333
166,0.999882
167,0.983165
168,0.995143
169,0.992025
170,0.997790
171,0.998888
172,0.996627
173,0.958954
174,0.997524
175,0.991914
176,0.999858
177,0.968597
178,0.997092
179,0.999776
180,0.947019
181,0.728100
182,0.992641
183,0.936556
184,0.921050
185,0.993000
186,0.984294
187,0.999138
188,0.989766
189,0.549896
190,0.995240
191,0.999850
192,0.998464
193,0.998698
194,0.996985
195,0.970769
196,0.998600
197,0.989400
198,0.981664
199,0.995954
200,0.915085
201,0.998554
202,0.991073
203,0.962539
204,0.996894
205,0.999547
206,0.992238
207,0.997112
208,0.991285
209,0.631565
210,0.674079
211,0.959804
212,0.994485
213,0.999049
214,0.989934
215,0.995337
216,0.907768
217,0.951784
218,0.996662
219,0.997965
220,0.984966
221,0.353370
222,0.999715
223,0.999784
224,0.996167
225,0.959205
226,0.824461
227,0.981169
228,0.994358
229,0.999265
230,0.996797
231,0.988266
232,0.969951
233,0.979157
234,0.068218
235,0.875941
236,0.970874
237,0.973814
238,0.990095
239,0.899563
240,0.999256
241,0.985653
242,0.700090
243,0.460082
244,0.994721
245,0.991029
246,0.999587
247,0.988615
248,0.988331
249,0.991269
250,0.998615
251,0.997527
252,0.975134
253,0.999203
254,0.999584
255,0.999437
256,0.982681
257,0.990046
258,0.959564
259,0.996474
260,0.999220
261,0.996237
262,0.974240
263,0.997622
264,0.998943
265,0.999279
266,0.994755
267,0.987131
268,0.998474
269,0.988174
270,0.997561
271,0.996969
272,0.979755
273,0.997901
274,0.572751
275,0.999139
276,0.964827
277,0.998440
278,0.999547
279,0.990071
280,0.959586
281,0.999797
282,0.999670
283,0.979829
284,0.961406
285,0.998537
286,0.994190
287,0.999752
288,0.997699
289,0.996824
290,0.997576
291,0.594263
292,0.914079
293,0.995138
294,0.993900
295,0.997223
296,0.445102
297,0.701621
298,0.981751
299,0.913373
300,0.998317
301,0.835964
302,0.998842
303,0.539009
304,0.922369
305,0.997853
306,0.997010
307,0.985955
308,0.999756
309,0.954300
310,0.985683
311,0.999374
312,0.998170
313,0.997498
314,0.999474
315,0.999634
316,0.998037
317,0.972106
318,0.997996
319,0.735499
320,0.999470
321,0.997731
322,0.434499
323,0.999900
324,0.995773
325,0.976555
326,0.952361
327,0.997588
328,0.999423
329,0.998727
330,0.996798
331,0.997869
332,0.981390
333,0.996470
334,0.952805
335,0.995543
336,0.988032
337,0.990506
338,0.995247
339,0.995267
340,0.996610
341,0.999389
342,0.991561
343,0.987822
344,0.999853
345,0.999429
346,0.998831
347,0.995639
348,0.988528
349,0.998709
350,0.962982
351,0.982876
352,0.999849
353,0.990997
354,0.918409
355,0.987080
356,0.998316
357,0.997035
358,0.998231
359,0.978318
360,0.445776
361,0.963788
362,0.984163
363,0.979027
364,0.947450
365,0.999785
366,0.999777
367,0.995544
368,0.999606
369,0.994587
370,0.999037
371,0.988291
372,0.995311
373,0.798639
374,0.225325
375,0.967266
376,0.996481
377,0.736659
378,0.995484
379,0.998771
380,0.921154
381,0.845596
382,0.990271
383,0.999815
384,0.998071
385,0.997206
386,0.988630
387,0.732431
388,0.984800
389,0.995634
390,0.995401
391,0.962245
392,0.998259
393,0.958233
394,0.993750
395,0.985426
396,0.989922
397,0.999902
398,0.987404
399,0.997946
400,0.998081
401,0.997696
402,0.995042
403,0.988828
404,0.973056
405,0.999652
406,0.994220
407,0.936761
408,0.996538
409,0.971324
410,0.999115
411,0.998591
412,0.963624
413,0.881993
414,0.998560
415,0.991252
416,0.939282
417,0.992466
418,0.997249
419,0.995809
420,0.995466
421,0.999416
422,0.993743
423,0.965016
424,0.843485
425,0.997421
426,0.979573
427,0.998404
428,0.995831
429,0.974910
430,0.999698
431,0.992300
432,0.993172
433,0.990195
434,0.990708
435,0.996299
436,0.999749
437,0.998022
438,0.121761
439,0.982553
440,0.475811
441,0.996812
442,0.999937
443,0.997648
444,0.997776
445,0.973398
446,0.998970
447,0.907948
448,0.997558
449,0.991805
450,0.988714
451,0.948669
452,0.995142
453,0.999469
454,0.964119
455,0.996077
456,0.995099
457,0.999384
458,0.998833
459,0.998324
460,0.707592
461,0.944563
462,0.999397
463,0.996920
464,0.995617
465,0.986124
466,0.998816
467,0.362402
468,0.991821
469,0.995805
470,0.996428
471,0.996760
472,0.996688
473,0.999046
474,0.998671
475,0.976489
476,0.995912
477,0.997685
478,0.994971
479,0.998090
480,0.998911
481,0.999573
482,0.988541
483,0.999546
484,0.981078
485,0.984580
486,0.918845
487,0.990285
488,0.996463
489,0.995619
490,0.986914
491,0.996783
492,0.989920
493,0.987597
494,0.996154
495,0.995248
496,0.994890
497,0.999247
498,0.999316
499,0.999136
500,0.979097
501,0.988279
502,0.947331
503,0.984970
504,0.989072
505,0.985308
506,0.998892
507,0.998787
508,0.981467
509,0.990213
510,0.401909
511,0.978547
512,0.989843
513,0.998938
514,0.737288
515,0.994595
516,0.992646
517,0.999427
518,0.902781
519,0.973195
520,0.959303
521,0.999160
522,0.998157
523,0.995788
524,0.191839
525,0.463612
526,0.455736
527,0.997191
528,0.994249
529,0.984446
530,0.999524
531,0.923093
532,0.988879
533,0.994946
534,0.984464
535,0.995117
536,0.992112
537,0.999807
538,0.991486
539,0.992658
540,0.935771
541,0.998206
542,0.984526
543,0.919034
544,0.977388
545,0.992846
546,0.995978
547,0.907122
548,0.744960
549,0.913911
550,0.883526
551,0.966008
552,0.958816
553,0.997608
554,0.927933
555,0.998562
556,0.990776
557,0.991950
558,0.971484
559,0.983309
560,0.990115
561,0.998113
562,0.995677
563,0.997314
564,0.753971
565,0.999818
566,0.977480
567,0.962315
568,0.887771
569,0.994324
570,0.988502
571,0.405401
572,0.997768
573,0.968331
574,0.369325
575,0.999734
576,0.996785
577,0.993843
578,0.995638
579,0.807067
580,0.984424
581,0.993060
582,0.993700
583,0.998925
584,0.862007
585,0.997098
586,0.987060
587,0.933879
588,0.995578
589,0.998531
590,0.943392
591,0.986720
592,0.999640
593,0.971631
594,0.990467
595,0.999193
596,0.998469
597,0.996601
598,0.888424
599,0.983223
600,0.978147
601,0.989692
602,0.975399
603,0.999898
604,0.996943
605,0.982223
606,0.997925
607,0.993856
608,0.998553
609,0.985694
610,0.811055
611,0.993573
612,0.991031
613,0.996731
614,0.739905
615,0.999721
616,0.533176
617,0.967704
618,0.998841
619,0.989830
620,0.999270
621,0.999129
622,0.974547
623,0.991950
624,0.920229
625,0.893650
626,0.996980
627,0.996028
628,0.963051
629,0.997132
630,0.999050
631,0.998741
632,0.971226
633,0.999133
634,0.998917
635,0.951511
636,0.996260
637,0.981409
638,0.995411
639,0.974700
640,0.990876
641,0.998989
642,0.983534
643,0.981984
644,0.996373
645,0.999313
646,0.759412
647,0.998385
648,0.965294
649,0.998760
650,0.917760
651,0.995651
652,0.998900
653,0.399387
654,0.985301
655,0.940490
656,0.997241
657,0.994100
658,0.997576
659,0.997102
660,0.971897
661,0.991862
662,0.998268
663,0.997344
664,0.995851
665,0.968223
666,0.594322
667,0.974785
668,0.984111
669,0.971869
670,0.423110
671,0.987872
672,0.984519
673,0.716236
674,0.980573
675,0.977611
676,0.995445
677,0.974193
678,0.998826
679,0.998268
680,0.992945
681,0.440178
682,0.986172
683,0.998920
684,0.993959
685,0.966092
686,0.984788
687,0.993522
688,0.998100
689,0.998102
690,0.999260
691,0.999705
692,0.999418
693,0.952729
694,0.998714
695,0.988920
696,0.830461
697,0.999611
698,0.997674
699,0.998365
700,0.995059
701,0.984949
702,0.998295
703,0.975870
704,0.976670
705,0.899216
706,0.840690
707,0.893531
708,0.998857
709,0.985733
710,0.996324
711,0.855204
712,0.925262
713,0.995561
714,0.999363
715,0.990501
716,0.873980
717,0.996023
718,0.966125
719,0.995496
720,0.995898
721,0.986256
722,0.999051
723,0.989119
724,0.991166
725,0.992165
726,0.971603
727,0.999055
728,0.999613
729,0.906187
730,0.957652
731,0.973165
732,0.999917
733,0.999913
734,0.999997
735,0.993395
736,0.804514
737,0.996731
738,0.998045
739,0.985130
740,0.998780
741,0.994698
742,0.997397
743,0.996308
744,0.999278
745,0.997570
746,0.995635
747,0.989048
748,0.997906
749,0.992638
750,0.999990
751,0.999362
752,0.990577
753,0.976586
754,0.982098
755,0.995554
756,0.672662
757,0.999658
758,0.990502
759,0.940968
760,0.952302
761,0.976701
762,0.972577
763,0.967862
764,0.976138
765,0.996470
766,0.988554
767,0.994449
768,0.996887
769,0.985782
770,0.989202
771,0.999451
772,0.994608
773,0.998815
774,0.997878
775,0.985895
776,0.887564
777,0.968432
778,0.993253
779,0.998116
780,0.453135
781,0.834242
782,0.987231
783,0.998604
784,0.984685
785,0.700462
786,0.972346
787,0.997652
788,0.981393
789,0.985729
790,0.947789
791,0.991964
792,0.996921
793,0.924572
794,0.983987
795,0.998335
796,0.961820
797,0.999537
798,0.998341
799,0.990456
800,0.999740
801,0.998463
802,0.993552
803,0.851757
804,0.997681
805,0.990994
806,0.998802
807,0.968936
808,0.941751
809,0.999094
810,0.997481
811,0.994565
812,0.290831
813,0.999041
814,0.986621
815,0.892040
816,0.999717
817,0.999761
818,0.998548
819,0.996101
820,0.959327
821,0.986211
822,0.998779
823,0.999168
824,0.997404
825,0.996775
826,0.962591
827,0.999774
828,0.995820
829,0.996723
830,0.997648
831,0.825964
832,0.999984
833,0.999177
834,0.998157
835,0.999819
836,0.965621
837,0.995647
838,0.999054
839,0.949083
840,0.982048
841,0.958344
842,0.999344
843,0.997700
844,0.998794
845,0.998226
846,0.994114
847,0.999210
848,0.998868
849,0.957513
850,0.534425
851,0.998423
852,0.993840
853,0.997736
854,0.170641
855,0.990217
856,0.996471
857,0.975747
858,0.995587
859,0.988766
860,0.999791
861,0.994794
862,0.983689
863,0.998346
864,0.949879
865,0.060083
866,0.972363
867,0.995133
868,0.991917
869,0.987152
870,0.998685
871,0.993634
872,0.987329
873,0.998114
874,0.809260
875,0.997178
876,0.990012
877,0.990441
878,0.989995
879,0.995193
880,0.991960
881,0.970810
882,0.997758
883,0.998728
884,0.971650
885,0.986075
886,0.999669
887,0.875836
888,0.997176
889,0.988186
890,0.999837
891,0.995594
892,0.971694
893,0.849776
894,0.998839
895,0.995707
896,0.991615
897,0.857030
898,0.971764
899,0.826989
900,0.998033
901,0.989218
902,0.994359
903,0.994626
904,0.995869
905,0.999834
906,0.999482
907,0.999915
908,0.999803
909,0.963767
910,0.961703
911,0.895588
912,0.996063
913,0.999712
914,0.999211
915,0.988305
916,0.978447
917,0.990662
918,0.993978
919,0.998005
920,0.996086
921,0.969347
922,0.987458
923,0.912706
924,0.981944
925,0.901475
926,0.998403
927,0.997457
928,0.999343
929,0.998142
930,0.999958
931,0.999147
932,0.996553
933,0.995365
934,0.996695
935,0.975171
936,0.956955
937,0.996510
938,0.995473
939,0.994529
940,0.917120
941,0.992992
942,0.999081
943,0.798080
944,0.996074
945,0.919616
946,0.989817
947,0.993154
948,0.952193
949,0.999060
950,0.994501
951,0.999566
952,0.782967
953,0.984675
954,0.993224
955,0.890715
956,0.241175
957,0.993240
958,0.984148
959,0.549094
960,0.973128
961,0.988257
962,0.995532
963,0.991386
964,0.968514
965,0.989317
966,0.964436
967,0.995237
968,0.941928
969,0.956284
970,0.959009
971,0.997842
972,0.999626
973,0.998657
974,0.995871
975,0.988174
976,0.982284
977,0.998798
978,0.925470
979,0.930475
980,0.741210
981,0.999169
982,0.994001
983,0.999885
984,0.101500
985,0.998227
986,0.989409
987,0.999876
988,0.986721
989,0.998769
990,0.910470
991,0.626234
992,0.978138
993,0.999998
994,0.996211
995,0.995181
996,0.998301
997,0.640541
998,0.994185
999,0.989952
1000,0.999541
1001,0.998128
1002,0.941483
1003,0.938577
1004,0.990034
1005,0.967899
1006,0.965608
1007,0.993128
1008,0.997885
1009,0.999788
1010,0.996826
1011,0.999108
1012,0.939244
1013,0.996457
1014,0.989440
1015,0.998758
1016,0.999654
1017,0.470122
1018,0.993008
1019,0.983673
1020,0.999191
1021,0.999420
1022,0.972037
1023,0.989375
1024,0.992385
1025,0.889956
1026,0.925169
1027,0.996884
1028,0.968381
1029,0.997104
1030,0.995358
1031,0.987310
1032,0.999955
1033,0.999488
1034,0.996571
1035,0.999771
1036,0.998687
1037,0.987492
1038,0.994845
1039,0.988065
1040,0.995133
1041,0.997513
1042,0.994099
1043,0.554267
1044,0.791067
1045,0.936034
1046,0.993914
1047,0.999485
1048,0.998004
1049,0.616604
1050,0.999146
1051,0.997304
1052,0.995391
1053,0.999733
1054,0.917401
1055,0.996446
1056,0.982931
1057,0.989729
1058,0.999128
1059,0.999136
1060,0.997236
1061,0.980231
1062,0.871346
1063,0.979264
1064,0.986703
1065,0.999854
1066,0.995942
1067,0.999166
1068,0.909738
1069,0.979851
1070,0.997648
1071,0.844351
1072,0.996539
1073,0.688287
1074,0.974347
1075,0.999783
1076,0.995469
1077,0.987400
1078,0.992823
1079,0.991609
1080,0.913773
1081,0.999983
1082,0.999541
1083,0.995537
1084,0.997836
1085,0.969464
1086,0.999793
1087,0.966564
1088,0.994334
1089,0.996758
1090,0.998987
1091,0.991276
