id,ACTION
1,0.936295
2,0.940961
3,0.944064
4,0.943033
5,0.941791
6,0.949302
7,0.939355
8,0.947416
9,0.932319
10,0.942203
11,0.941809
12,0.941386
13,0.938658
14,0.939029
15,0.943659
16,0.942415
17,0.938276
18,0.942261
19,0.942814
20,0.922878
21,0.942406
22,0.953923
23,0.944587
24,0.942210
25,0.942739
26,0.973719
27,0.934444
28,0.940507
29,0.940061
30,0.939277
31,0.941577
32,0.945078
33,0.941165
34,0.940061
35,0.941514
36,0.941715
37,0.943861
38,0.950973
39,0.936625
40,0.939233
41,0.931997
42,0.949531
43,0.938225
44,0.942612
45,0.942258
46,0.952777
47,0.943341
48,0.938198
49,0.942013
50,0.896331
51,0.949754
52,0.941410
53,0.941679
54,0.938078
55,0.939357
56,0.939050
57,0.943539
58,0.941091
59,0.938128
60,0.940332
61,0.941195
62,0.941557
63,0.937824
64,0.944975
65,0.943209
66,0.955457
67,0.899214
68,0.945230
69,0.942125
70,0.940028
71,0.927195
72,0.941918
73,0.939802
74,0.941517
75,0.941396
76,0.949143
77,0.942827
78,0.942203
79,0.943489
80,0.950232
81,0.942590
82,0.942109
83,0.949900
84,0.940752
85,0.940752
86,0.937134
87,0.940728
88,0.944174
89,0.943791
90,0.943634
91,0.944789
92,0.941108
93,0.947490
94,0.942068
95,0.943796
96,0.938165
97,0.942246
98,0.938984
99,0.945837
100,0.941577
101,0.942891
102,0.955223
103,0.942384
104,0.931156
105,0.942630
106,0.944565
107,0.945655
108,0.942330
109,0.940178
110,0.940698
111,0.940230
112,0.935755
113,0.942132
114,0.944450
115,0.939138
116,0.941983
117,0.941399
118,0.941036
119,0.942256
120,0.939519
121,0.941724
122,0.924009
123,0.940936
124,0.947376
125,0.945175
126,0.942142
127,0.942040
128,0.941218
129,0.937977
130,0.951217
131,0.941927
132,0.941089
133,0.942181
134,0.939540
135,0.941159
136,0.942173
137,0.941737
138,0.926837
139,0.940356
140,0.947318
141,0.942179
142,0.934101
143,0.934569
144,0.949897
145,0.941509
146,0.940631
147,0.941427
148,0.943686
149,0.943032
150,0.954029
151,0.941640
152,0.942791
153,0.925415
154,0.942229
155,0.940165
156,0.942095
157,0.938791
158,0.940328
159,0.942754
160,0.942362
161,0.941843
162,0.943478
163,0.938451
164,0.941605
165,0.938058
166,0.940137
167,0.942175
168,0.942034
169,0.942237
170,0.937267
171,0.941689
172,0.949287
173,0.940642
174,0.940574
175,0.951731
176,0.941900
177,0.936958
178,0.943053
179,0.942352
180,0.940303
181,0.938038
182,0.951010
183,0.937145
184,0.927135
185,0.943123
186,0.942042
187,0.943154
188,0.937138
189,0.927246
190,0.947664
191,0.945467
192,0.938353
193,0.941859
194,0.942855
195,0.941706
196,0.941293
197,0.960923
198,0.941760
199,0.943122
200,0.940522
201,0.944340
202,0.943507
203,0.938076
204,0.941886
205,0.950554
206,0.943507
207,0.941738
208,0.940827
209,0.936971
210,0.927534
211,0.941358
212,0.932059
213,0.943542
214,0.942351
215,0.942403
216,0.942090
217,0.943964
218,0.937901
219,0.943449
220,0.939701
221,0.972018
222,0.940527
223,0.942972
224,0.931190
225,0.939675
226,0.941635
227,0.938050
228,0.941410
229,0.943836
230,0.943417
231,0.942109
232,0.940546
233,0.940911
234,0.947852
235,0.942076
236,0.929015
237,0.941995
238,0.942012
239,0.942079
240,0.941236
241,0.938108
242,0.937242
243,0.944454
244,0.941737
245,0.930431
246,0.941681
247,0.941105
248,0.944924
249,0.936550
250,0.943429
251,0.943432
252,0.941119
253,0.939834
254,0.952326
255,0.940518
256,0.938428
257,0.941222
258,0.939216
259,0.942397
260,0.941874
261,0.941756
262,0.941470
263,0.945568
264,0.941015
265,0.937045
266,0.940678
267,0.941783
268,0.941283
269,0.936443
270,0.941641
271,0.941754
272,0.944194
273,0.947304
274,0.943488
275,0.945236
276,0.945890
277,0.937905
278,0.939460
279,0.935481
280,0.942283
281,0.943144
282,0.947554
283,0.938865
284,0.942230
285,0.943329
286,0.943391
287,0.941221
288,0.946961
289,0.929899
290,0.937267
291,0.938328
292,0.941561
293,0.941798
294,0.951990
295,0.952484
296,0.941836
297,0.942901
298,0.944185
299,0.941891
300,0.945421
301,0.941096
302,0.943722
303,0.942175
304,0.941895
305,0.947572
306,0.942394
307,0.940741
308,0.945060
309,0.942938
310,0.940753
311,0.950505
312,0.938292
313,0.942030
314,0.938993
315,0.930951
316,0.942270
317,0.952797
318,0.940565
319,0.942305
320,0.941536
321,0.950424
322,0.941797
323,0.945609
324,0.934866
325,0.933576
326,0.955023
327,0.945506
328,0.940387
329,0.943776
330,0.941563
331,0.949456
332,0.941595
333,0.941241
334,0.936030
335,0.940738
336,0.942194
337,0.949009
338,0.943634
339,0.944104
340,0.938441
341,0.949919
342,0.939819
343,0.938766
344,0.943429
345,0.942943
346,0.942146
347,0.945145
348,0.933138
349,0.941252
350,0.943196
351,0.945369
352,0.942480
353,0.941647
354,0.942237
355,0.941529
356,0.946654
357,0.942078
358,0.936978
359,0.939482
360,0.935295
361,0.942459
362,0.941703
363,0.946174
364,0.942427
365,0.944586
366,0.940568
367,0.940640
368,0.940521
369,0.942302
370,0.940274
371,0.939537
372,0.960263
373,0.940596
374,0.942498
375,0.945186
376,0.942547
377,0.941766
378,0.941294
379,0.941258
380,0.940648
381,0.943358
382,0.938429
383,0.940559
384,0.947179
385,0.996411
386,0.945745
387,0.941949
388,0.940093
389,0.940257
390,0.939639
391,0.943748
392,0.935336
393,0.927465
394,0.945491
395,0.941640
396,0.943258
397,0.941253
398,0.946815
399,0.941090
400,0.938045
401,0.940081
402,0.942122
403,0.943480
404,0.942829
405,0.945080
406,0.940526
407,0.942392
408,0.944678
409,0.939639
410,0.938061
411,0.941192
412,0.942524
413,0.938019
414,0.938941
415,0.949429
416,0.942742
417,0.941258
418,0.942315
419,0.937363
420,0.945393
421,0.939190
422,0.941359
423,0.938151
424,0.938023
425,0.942130
426,0.941864
427,0.949866
428,0.950210
429,0.944305
430,0.945812
431,0.947300
432,0.947856
433,0.942408
434,0.941860
435,0.969394
436,0.943166
437,0.937668
438,0.941010
439,0.944669
440,0.942828
441,0.946326
442,0.945465
443,0.944054
444,0.949237
445,0.940587
446,0.941782
447,0.935803
448,0.944322
449,0.945838
450,0.942806
451,0.938709
452,0.949646
453,0.960947
454,0.936608
455,0.937796
456,0.946413
457,0.942425
458,0.947471
459,0.943164
460,0.943991
461,0.941147
462,0.938778
463,0.944006
464,0.937888
465,0.940518
466,0.940310
467,0.942364
468,0.944350
469,0.943832
470,0.943448
471,0.939962
472,0.941451
473,0.942846
474,0.944778
475,0.944073
476,0.929163
477,0.945369
478,0.941471
479,0.941082
480,0.943929
481,0.948804
482,0.937862
483,0.944982
484,0.941039
485,0.943591
486,0.940842
487,0.937875
488,0.943259
489,0.948279
490,0.942260
491,0.937415
492,0.937133
493,0.941754
494,0.973778
495,0.939504
496,0.956615
497,0.942844
498,0.940543
499,0.942979
500,0.945693
501,0.940563
502,0.941191
503,0.942776
504,0.939094
505,0.941610
506,0.944240
507,0.946687
508,0.940961
509,0.938677
510,0.941474
511,0.941751
512,0.947645
513,0.939987
514,0.942064
515,0.942202
516,0.941058
517,0.938420
518,0.941918
519,0.943809
520,0.937968
521,0.943350
522,0.942625
523,0.955497
524,0.940619
525,0.942186
526,0.940347
527,0.942321
528,0.943841
529,0.940496
530,0.940922
531,0.937130
532,0.940047
533,0.953501
534,0.940147
535,0.933135
536,0.940510
537,0.946445
538,0.940309
539,0.941120
540,0.941283
541,0.929117
542,0.941208
543,0.940921
544,0.943071
545,0.939472
546,0.941311
547,0.937471
548,0.940290
549,0.932447
550,0.942194
551,0.942878
552,0.942031
553,0.941889
554,0.941045
555,0.932945
556,0.941886
557,0.942147
558,0.950338
559,0.941912
560,0.941904
561,0.929997
562,0.944920
563,0.941794
564,0.954004
565,0.949489
566,0.940991
567,0.939471
568,0.946917
569,0.936342
570,0.937941
571,0.940702
572,0.941446
573,0.940639
574,0.941496
575,0.941300
576,0.942197
577,0.939617
578,0.942837
579,0.940314
580,0.938175
581,0.940903
582,0.939301
583,0.942519
584,0.942812
585,0.939183
586,0.942193
587,0.944952
588,0.939032
589,0.943523
590,0.943995
591,0.943316
592,0.942084
593,0.941574
594,0.940531
595,0.943732
596,0.940148
597,0.943049
598,0.945042
599,0.938188
600,0.942251
601,0.951377
602,0.932213
603,0.943099
604,0.942833
605,0.939766
606,0.940621
607,0.940041
608,0.943667
609,0.939145
610,0.942211
611,0.941698
612,0.940282
613,0.940732
614,0.941090
615,0.945441
616,0.942163
617,0.937038
618,0.941082
619,0.945368
620,0.933624
621,0.945955
622,0.942953
623,0.941987
624,0.940834
625,0.941913
626,0.941110
627,0.939425
628,0.943979
629,0.944383
630,0.947987
631,0.942757
632,0.941701
633,0.942372
634,0.940339
635,0.939233
636,0.943667
637,0.940893
638,0.940019
639,0.929181
640,0.943859
641,0.939212
642,0.950752
643,0.940016
644,0.941854
645,0.942388
646,0.936659
647,0.950478
648,0.940172
649,0.949156
650,0.943053
651,0.940647
652,0.978627
653,0.941146
654,0.939478
655,0.942475
656,0.943199
657,0.939496
658,0.940879
659,0.940504
660,0.940742
661,0.943953
662,0.945266
663,0.942862
664,0.940012
665,0.944006
666,0.940108
667,0.923278
668,0.943975
669,0.941042
670,0.939142
671,0.938266
672,0.941397
673,0.943022
674,0.942560
675,0.944395
676,0.937042
677,0.941775
678,0.940052
679,0.954265
680,0.945823
681,0.939749
682,0.940039
683,0.942458
684,0.941305
685,0.943699
686,0.943075
687,0.937257
688,0.943362
689,0.943050
690,0.940437
691,0.942526
692,0.942250
693,0.945905
694,0.943182
695,0.943961
696,0.944181
697,0.942784
698,0.939126
699,0.939111
700,0.939418
701,0.924519
702,0.945009
703,0.968084
704,0.938534
705,0.942330
706,0.951808
707,0.946743
708,0.942648
709,0.940546
710,0.940828
711,0.942633
712,0.943220
713,0.940494
714,0.940837
715,0.941132
716,0.930811
717,0.942300
718,0.936089
719,0.943162
720,0.937126
721,0.926802
722,0.942357
723,0.944915
724,0.937112
725,0.941724
726,0.945923
727,0.941857
728,0.941668
729,0.942234
730,0.941099
731,0.943883
732,0.941294
733,0.937118
734,0.942105
735,0.940413
736,0.941672
737,0.937394
738,0.942045
739,0.938193
740,0.940717
741,0.938749
742,0.942861
743,0.941436
744,0.967040
745,0.943950
746,0.941692
747,0.967936
748,0.943050
749,0.944914
750,0.942347
751,0.943443
752,0.943461
753,0.940727
754,0.943841
755,0.938004
756,0.940554
757,0.941350
758,0.935205
759,0.942725
760,0.941813
761,0.939704
762,0.942285
763,0.945760
764,0.942123
765,0.939995
