id,ACTION
1,0.936485
2,0.940920
3,0.943796
4,0.942948
5,0.941597
6,0.949063
7,0.939376
8,0.947192
9,0.929176
10,0.942031
11,0.941530
12,0.941271
13,0.938611
14,0.938861
15,0.943484
16,0.942216
17,0.938403
18,0.942058
19,0.942618
20,0.919411
21,0.942141
22,0.953516
23,0.944434
24,0.942283
25,0.942412
26,0.972305
27,0.935720
28,0.940542
29,0.939952
30,0.939343
31,0.941398
32,0.944703
33,0.941052
34,0.939963
35,0.941429
36,0.941991
37,0.943550
38,0.951493
39,0.936763
40,0.939125
41,0.929014
42,0.949299
43,0.938286
44,0.942338
45,0.942162
46,0.952473
47,0.943217
48,0.938272
49,0.941510
50,0.895269
51,0.949840
52,0.941180
53,0.941462
54,0.935854
55,0.939257
56,0.938935
57,0.943173
58,0.940983
59,0.938201
60,0.940106
61,0.941131
62,0.941424
63,0.937946
64,0.944400
65,0.942824
66,0.955179
67,0.897753
68,0.945164
69,0.941929
70,0.939789
71,0.923588
72,0.941714
73,0.939866
74,0.941447
75,0.941299
76,0.948757
77,0.942649
78,0.942003
79,0.943344
80,0.950309
81,0.942424
82,0.941939
83,0.949812
84,0.940707
85,0.940741
86,0.937209
87,0.940560
88,0.943879
89,0.943594
90,0.943490
91,0.944505
92,0.941511
93,0.947413
94,0.941819
95,0.943545
96,0.938126
97,0.942093
98,0.938989
99,0.945638
100,0.941389
101,0.942640
102,0.954875
103,0.942160
104,0.928012
105,0.942319
106,0.944475
107,0.945560
108,0.942094
109,0.940033
110,0.940528
111,0.940170
112,0.934686
113,0.941943
114,0.944154
115,0.939128
116,0.941677
117,0.941205
118,0.940876
119,0.942028
120,0.939435
121,0.941903
122,0.920622
123,0.940940
124,0.947224
125,0.944834
126,0.941940
127,0.942058
128,0.941312
129,0.938187
130,0.950958
131,0.941818
132,0.940930
133,0.941935
134,0.939540
135,0.941064
136,0.941975
137,0.941548
138,0.923362
139,0.940397
140,0.947145
141,0.941891
142,0.933169
143,0.933648
144,0.949922
145,0.941385
146,0.941026
147,0.941436
148,0.943360
149,0.942731
150,0.953752
151,0.941564
152,0.942643
153,0.921875
154,0.941983
155,0.940064
156,0.941942
157,0.938768
158,0.939727
159,0.942515
160,0.942236
161,0.941902
162,0.943213
163,0.938407
164,0.941512
165,0.938044
166,0.940214
167,0.941941
168,0.941873
169,0.942032
170,0.937384
171,0.941587
172,0.949053
173,0.940570
174,0.940503
175,0.951518
176,0.941841
177,0.937002
178,0.942916
179,0.942037
180,0.940362
181,0.938038
182,0.950857
183,0.937271
184,0.923548
185,0.942930
186,0.941739
187,0.942941
188,0.937160
189,0.923689
190,0.947513
191,0.945136
192,0.938362
193,0.941771
194,0.942590
195,0.942828
196,0.941154
197,0.960590
198,0.941481
199,0.942929
200,0.940460
201,0.944143
202,0.943408
203,0.938099
204,0.941800
205,0.950983
206,0.943172
207,0.941545
208,0.940735
209,0.937006
210,0.923853
211,0.941357
212,0.929196
213,0.943326
214,0.942112
215,0.942139
216,0.941987
217,0.943572
218,0.936684
219,0.943270
220,0.939654
221,0.971746
222,0.940533
223,0.943425
224,0.928112
225,0.939607
226,0.941553
227,0.938073
228,0.941354
229,0.943520
230,0.943047
231,0.941931
232,0.940575
233,0.940742
234,0.947643
235,0.941906
236,0.929382
237,0.941840
238,0.941574
239,0.941910
240,0.941111
241,0.938070
242,0.937312
243,0.944174
244,0.941594
245,0.927299
246,0.941384
247,0.941131
248,0.944559
249,0.936570
250,0.943196
251,0.943070
252,0.941038
253,0.939968
254,0.952355
255,0.940508
256,0.938438
257,0.941044
258,0.939089
259,0.942244
260,0.941809
261,0.941635
262,0.941336
263,0.945406
264,0.940922
265,0.937277
266,0.940660
267,0.941557
268,0.941066
269,0.936518
270,0.941480
271,0.941526
272,0.944036
273,0.947039
274,0.943200
275,0.944939
276,0.945494
277,0.937829
278,0.939785
279,0.934319
280,0.942051
281,0.942845
282,0.947224
283,0.939176
284,0.942026
285,0.943188
286,0.943103
287,0.941012
288,0.946612
289,0.926904
290,0.937384
291,0.938287
292,0.941455
293,0.941606
294,0.951712
295,0.952225
296,0.941727
297,0.942685
298,0.943921
299,0.941843
300,0.945255
301,0.940888
302,0.944782
303,0.941906
304,0.941663
305,0.947335
306,0.942135
307,0.940731
308,0.945488
309,0.942817
310,0.940716
311,0.950470
312,0.938287
313,0.941845
314,0.938917
315,0.931718
316,0.942275
317,0.952405
318,0.940409
319,0.942036
320,0.941442
321,0.950039
322,0.941607
323,0.945277
324,0.933801
325,0.932492
326,0.954914
327,0.945051
328,0.940365
329,0.943535
330,0.941473
331,0.949187
332,0.941430
333,0.941075
334,0.936071
335,0.940626
336,0.942049
337,0.948757
338,0.943514
339,0.943733
340,0.938505
341,0.949909
342,0.940318
343,0.938750
344,0.943262
345,0.942596
346,0.942086
347,0.944725
348,0.932156
349,0.941119
350,0.943035
351,0.945240
352,0.942188
353,0.941442
354,0.941989
355,0.941388
356,0.946624
357,0.941949
358,0.937104
359,0.940717
360,0.934129
361,0.942222
362,0.941390
363,0.944362
364,0.942215
365,0.944290
366,0.940460
367,0.940583
368,0.940570
369,0.942069
370,0.940281
371,0.939420
372,0.959940
373,0.940461
374,0.942282
375,0.944821
376,0.943551
377,0.941593
378,0.941126
379,0.941267
380,0.940631
381,0.943023
382,0.938411
383,0.940308
384,0.946829
385,0.996250
386,0.945371
387,0.941786
388,0.940047
389,0.940256
390,0.939469
391,0.943733
392,0.934153
393,0.923847
394,0.945178
395,0.941442
396,0.943055
397,0.941145
398,0.946573
399,0.940910
400,0.938006
401,0.939974
402,0.941815
403,0.943133
404,0.942508
405,0.944797
406,0.940377
407,0.942091
408,0.944516
409,0.939469
410,0.938122
411,0.941083
412,0.942060
413,0.938060
414,0.938886
415,0.949080
416,0.942559
417,0.941178
418,0.942213
419,0.937267
420,0.944946
421,0.947126
422,0.941203
423,0.938143
424,0.938003
425,0.941992
426,0.941684
427,0.949880
428,0.950298
429,0.944422
430,0.945765
431,0.948254
432,0.947639
433,0.942155
434,0.941811
435,0.969800
436,0.942769
437,0.937843
438,0.940898
439,0.944671
440,0.942575
441,0.946175
442,0.945102
443,0.943715
444,0.949080
445,0.941356
446,0.941586
447,0.935846
448,0.944059
449,0.945541
450,0.942600
451,0.938749
452,0.949471
453,0.960581
454,0.936775
455,0.937944
456,0.946040
457,0.942293
458,0.947193
459,0.943033
460,0.943797
461,0.941008
462,0.939278
463,0.943616
464,0.937972
465,0.940545
466,0.940227
467,0.942145
468,0.944251
469,0.943440
470,0.943179
471,0.939997
472,0.941326
473,0.942734
474,0.944424
475,0.943875
476,0.927122
477,0.945107
478,0.941240
479,0.941140
480,0.943666
481,0.948660
482,0.938117
483,0.944816
484,0.940908
485,0.943265
486,0.940741
487,0.937908
488,0.943160
489,0.948404
490,0.942073
491,0.937381
492,0.938874
493,0.941627
494,0.974070
495,0.939368
496,0.956289
497,0.943059
498,0.940441
499,0.942708
500,0.945396
501,0.940151
502,0.941160
503,0.942534
504,0.939027
505,0.941350
506,0.944088
507,0.946498
508,0.940853
509,0.938492
510,0.943836
511,0.941634
512,0.947283
513,0.940073
514,0.941927
515,0.941998
516,0.940886
517,0.939664
518,0.941841
519,0.943524
520,0.937986
521,0.943146
522,0.942562
523,0.955227
524,0.940954
525,0.941955
526,0.940219
527,0.942104
528,0.943585
529,0.940456
530,0.940804
531,0.937171
532,0.940019
533,0.953207
534,0.939924
535,0.932189
536,0.940473
537,0.946133
538,0.940134
539,0.941138
540,0.941158
541,0.926361
542,0.941070
543,0.940635
544,0.942803
545,0.939359
546,0.941146
547,0.914377
548,0.940214
549,0.929367
550,0.941963
551,0.942655
552,0.941885
553,0.942854
554,0.940881
555,0.931943
556,0.941802
557,0.942327
558,0.950327
559,0.941694
560,0.941675
561,0.928556
562,0.944622
563,0.941615
564,0.953544
565,0.949673
566,0.940977
567,0.939949
568,0.946639
569,0.936513
570,0.937961
571,0.940534
572,0.941510
573,0.940568
574,0.941234
575,0.941304
576,0.941980
577,0.939525
578,0.942583
579,0.940253
580,0.938142
581,0.940811
582,0.939299
583,0.942356
584,0.942649
585,0.939185
586,0.941957
587,0.944582
588,0.938941
589,0.943182
590,0.943614
591,0.943096
592,0.942039
593,0.941610
594,0.940306
595,0.943479
596,0.940006
597,0.942972
598,0.944742
599,0.938275
600,0.942049
601,0.951517
602,0.929125
603,0.942857
604,0.942453
605,0.939652
606,0.940604
607,0.940862
608,0.943446
609,0.939036
610,0.942024
611,0.941540
612,0.940284
613,0.940567
614,0.940999
615,0.945272
616,0.941866
617,0.937259
618,0.941028
619,0.945102
620,0.933114
621,0.945769
622,0.942679
623,0.941902
624,0.940721
625,0.941783
626,0.941019
627,0.939469
628,0.943630
629,0.944003
630,0.948092
631,0.942714
632,0.941517
633,0.942065
634,0.940216
635,0.939395
636,0.943261
637,0.940742
638,0.940080
639,0.926457
640,0.943747
641,0.939142
642,0.950553
643,0.939845
644,0.941498
645,0.941959
646,0.936713
647,0.950400
648,0.940013
649,0.948801
650,0.942810
651,0.941811
652,0.978733
653,0.940999
654,0.939459
655,0.942306
656,0.942967
657,0.939389
658,0.940896
659,0.940515
660,0.940656
661,0.943881
662,0.944863
663,0.942651
664,0.939908
665,0.943720
666,0.940264
667,0.921880
668,0.943627
669,0.941345
670,0.939184
671,0.938261
672,0.941250
673,0.942822
674,0.942270
675,0.944125
676,0.936988
677,0.941678
678,0.939977
679,0.954906
680,0.945529
681,0.939847
682,0.939943
683,0.942196
684,0.941032
685,0.943481
686,0.942893
687,0.937197
688,0.943126
689,0.942749
690,0.940332
691,0.942500
692,0.942092
693,0.945496
694,0.942955
695,0.943869
696,0.944058
697,0.942514
698,0.939101
699,0.940733
700,0.940686
701,0.920907
702,0.944752
703,0.968571
704,0.938554
705,0.942104
706,0.951617
707,0.946584
708,0.942445
709,0.940494
710,0.940782
711,0.942321
712,0.943108
713,0.940452
714,0.940844
715,0.941003
716,0.927724
717,0.942088
718,0.936443
719,0.942937
720,0.937219
721,0.923210
722,0.942184
723,0.944555
724,0.937099
725,0.941996
726,0.945540
727,0.941659
728,0.941679
729,0.941977
730,0.940843
731,0.943479
732,0.941241
733,0.937360
734,0.942092
735,0.941273
736,0.941564
737,0.937371
738,0.942091
739,0.938190
740,0.940661
741,0.938742
742,0.942640
743,0.941318
744,0.967947
745,0.943666
746,0.941625
747,0.968501
748,0.942749
749,0.944601
750,0.942209
751,0.943072
752,0.943248
753,0.940729
754,0.941883
755,0.939245
756,0.940399
757,0.941075
758,0.934175
759,0.942462
760,0.941566
761,0.939850
762,0.942080
763,0.946636
764,0.941915
765,0.940810
766,0.941336
767,0.943067
768,0.939788
769,0.940908
770,0.940749
771,0.941083
772,0.937198
773,0.937079
774,0.941796
775,0.940705
776,0.950889
777,0.943024
778,0.943530
779,0.957380
780,0.937832
781,0.940394
782,0.943831
783,0.938762
784,0.940529
785,0.944391
786,0.941902
787,0.941978
788,0.928889
789,0.944739
790,0.943805
791,0.941141
792,0.947215
793,0.939508
794,0.943020
795,0.943981
796,0.937220
797,0.945490
798,0.945089
799,0.941425
800,0.943623
801,0.942158
802,0.940571
803,0.942078
804,0.941553
805,0.942084
806,0.943361
807,0.943589
808,0.940138
809,0.950633
810,0.941105
811,0.943066
812,0.942293
813,0.940832
814,0.940558
815,0.937029
816,0.942832
817,0.935820
818,0.942761
819,0.941600
820,0.941895
821,0.940324
822,0.948558
823,0.942990
824,0.944160
825,0.940783
826,0.941430
827,0.944995
828,0.952483
829,0.940815
830,0.938334
831,0.943129
832,0.942420
833,0.937296
834,0.942115
835,0.955197
836,0.942856
837,0.938065
838,0.951828
839,0.940284
840,0.943203
841,0.945258
842,0.937343
843,0.944640
844,0.931395
845,0.938832
846,0.941830
847,0.942700
848,0.942609
849,0.940575
850,0.948014
851,0.938886
852,0.942259
853,0.925198
854,0.950697
855,0.939773
856,0.940755
857,0.939850
858,0.951652
859,0.943815
860,0.942041
861,0.944835
862,0.938141
863,0.942003
864,0.938249
865,0.936829
866,0.952239
867,0.939107
868,0.978337
869,0.941093
870,0.949892
871,0.939825
872,0.936808
873,0.942242
874,0.941772
875,0.939918
876,0.944224
877,0.943535
878,0.935856
879,0.930372
880,0.941869
881,0.941971
882,0.941888
883,0.942592
884,0.942332
885,0.928137
886,0.936960
887,0.938147
888,0.941434
889,0.944001
890,0.941686
891,0.941611
892,0.923743
893,0.938618
894,0.942830
895,0.940420
896,0.941279
897,0.942092
898,0.942052
899,0.940541
900,0.941542
901,0.941387
902,0.941882
903,0.942565
904,0.941510
905,0.942123
906,0.949815
907,0.948885
908,0.940304
909,0.940184
910,0.941893
911,0.941555
912,0.936771
913,0.947136
914,0.941341
915,0.943794
916,0.939745
917,0.943846
918,0.941975
919,0.938396
920,0.944064
921,0.943113
922,0.940656
923,0.958245
924,0.928062
925,0.935280
926,0.944777
927,0.942415
928,0.939490
929,0.941491
930,0.948901
931,0.947732
932,0.943176
933,0.949931
934,0.943069
935,0.949937
936,0.928575
937,0.940714
938,0.939467
939,0.941187
940,0.941827
941,0.949135
942,0.933467
943,0.942195
944,0.941499
945,0.939940
946,0.940065
947,0.950502
948,0.951919
949,0.941898
950,0.941085
951,0.940857
952,0.941362
953,0.943517
954,0.940460
955,0.939418
956,0.936966
957,0.956356
958,0.941382
959,0.941536
960,0.937431
961,0.926511
962,0.940829
963,0.943064
964,0.941245
965,0.945124
966,0.943864
967,0.940248
968,0.939215
969,0.943350
970,0.941444
971,0.942185
972,0.943245
973,0.940977
974,0.942410
975,0.941814
976,0.942549
977,0.926469
978,0.944481
979,0.940803
980,0.939988
981,0.942094
982,0.942014
983,0.945136
984,0.941979
985,0.941527
986,0.941782
987,0.941950
988,0.941428
989,0.941796
990,0.943044
991,0.945632
992,0.941619
993,0.942401
994,0.942922
