id,ACTION
1,0.580166
2,0.990885
3,0.992724
4,0.989110
5,0.998103
6,0.993691
7,0.988998
8,0.999637
9,0.543827
10,0.993733
11,0.975012
12,0.987692
13,0.988243
14,0.978773
15,0.931277
16,0.951634
17,0.869189
18,0.952769
19,0.991865
20,0.994287
21,0.999491
22,0.989420
23,0.973246
24,0.983094
25,0.985362
26,0.981709
27,0.967413
28,0.934872
29,0.979621
30,0.953897
31,0.977321
32,0.983299
33,0.990842
34,0.995722
35,0.993647
36,0.972207
37,0.984758
38,0.999461
39,0.954962
40,0.937743
41,0.986039
42,0.993098
43,0.984456
44,0.989715
45,0.971237
46,0.979102
47,0.997273
48,0.978080
49,0.999913
50,0.974745
51,0.940934
52,0.991502
53,0.983462
54,0.993263
55,0.967871
56,0.982116
57,0.965155
58,0.998219
59,0.994405
60,0.973677
61,0.996334
62,0.998331
63,0.988623
64,0.983370
65,0.999644
66,0.988571
67,0.946124
68,0.997669
69,0.941998
70,0.942642
71,0.981351
72,0.987933
73,0.991744
74,0.996544
75,0.981147
76,0.998573
77,0.997235
78,0.972850
79,0.452129
80,0.993242
81,0.993043
82,0.993375
83,0.979226
84,0.991762
85,0.979879
86,0.983503
87,0.989085
88,0.995215
89,0.994997
90,0.941229
91,0.970584
92,0.828240
93,0.983290
94,0.996113
95,0.985869
96,0.982296
97,0.255648
98,0.986394
99,0.991801
100,0.994786
101,0.940531
102,0.353375
103,0.980135
104,0.991099
105,0.673168
106,0.995641
107,0.993064
108,0.969605
109,0.993137
110,0.982438
111,0.913854
112,0.977710
113,0.945961
114,0.994608
115,0.978222
116,0.985105
117,0.966560
118,0.992749
119,0.998470
120,0.956629
121,0.988378
122,0.981156
123,0.978422
124,0.969513
125,0.994184
126,0.926830
127,0.930511
128,0.957129
129,0.930740
130,0.994830
131,0.993551
132,0.989550
133,0.981665
134,0.870711
135,0.991880
136,0.941607
137,0.994236
138,0.984077
139,0.863021
140,0.997934
141,0.998298
142,0.973428
143,0.996298
144,0.994372
145,0.996028
146,0.848110
147,0.966054
148,0.903838
149,0.995761
150,0.986737
151,0.982535
152,0.990769
153,0.989365
154,0.954371
155,0.991655
156,0.938743
157,0.995319
158,0.971541
159,0.976949
160,0.953282
161,0.385086
162,0.989547
163,0.996016
164,0.969628
165,0.987742
166,0.998928
167,0.961356
168,0.967217
169,0.985728
170,0.996664
171,0.983070
172,0.987722
173,0.989347
174,0.984928
175,0.971186
176,0.994824
177,0.907998
178,0.993523
179,0.999814
180,0.966054
181,0.100218
182,0.994830
183,0.992517
184,0.951971
185,0.962449
186,0.927645
187,0.981870
188,0.976973
189,0.600036
190,0.981366
191,0.998247
192,0.982296
193,0.991142
194,0.995507
195,0.989866
196,0.996040
197,0.992295
198,0.986743
199,0.964499
200,0.517764
201,0.969121
202,0.979968
203,0.956653
204,0.954542
205,0.995403
206,0.987926
207,0.993073
208,0.962934
209,0.788950
210,0.828370
211,0.983126
212,0.991122
213,0.996943
214,0.979990
215,0.981991
216,0.878863
217,0.977534
218,0.992654
219,0.997010
220,0.993568
221,0.872584
222,0.998547
223,0.987209
224,0.941683
225,0.978000
226,0.599613
227,0.915384
228,0.992945
229,0.995815
230,0.983783
231,0.967465
232,0.910341
233,0.970661
234,0.147932
235,0.962184
236,0.946741
237,0.991056
238,0.963337
239,0.976751
240,0.996329
241,0.979023
242,0.905367
243,0.312705
244,0.980778
245,0.987750
246,0.999419
247,0.979803
248,0.985155
249,0.995385
250,0.995468
251,0.996798
252,0.963559
253,0.995884
254,0.996991
255,0.997612
256,0.971849
257,0.991984
258,0.974561
259,0.956905
260,0.997158
261,0.989901
262,0.980483
263,0.979975
264,0.997076
265,0.994290
266,0.962934
267,0.989725
268,0.987040
269,0.995385
270,0.988055
271,0.996466
272,0.921544
273,0.995747
274,0.311633
275,0.990186
276,0.702950
277,0.997481
278,0.995473
279,0.994071
280,0.947664
281,0.998600
282,0.996119
283,0.970381
284,0.968541
285,0.984989
286,0.944442
287,0.998898
288,0.994995
289,0.967732
290,0.994290
291,0.711926
292,0.938912
293,0.989923
294,0.938449
295,0.988773
296,0.124550
297,0.592185
298,0.976626
299,0.852228
300,0.973005
301,0.740412
302,0.990434
303,0.937404
304,0.925188
305,0.983626
306,0.993842
307,0.979879
308,0.998132
309,0.963402
310,0.997188
311,0.996182
312,0.992895
313,0.991056
314,0.995800
315,0.995034
316,0.993176
317,0.963974
318,0.998310
319,0.957790
320,0.998657
321,0.980238
322,0.099260
323,0.998804
324,0.997924
325,0.992077
326,0.426761
327,0.993395
328,0.998899
329,0.991100
330,0.993728
331,0.978492
332,0.974106
333,0.996519
334,0.961796
335,0.994704
336,0.957385
337,0.997074
338,0.985272
339,0.970996
340,0.985919
341,0.995557
342,0.991940
343,0.938882
344,0.996932
345,0.994036
346,0.978168
347,0.957551
348,0.988553
349,0.998410
350,0.920157
351,0.974941
352,0.999568
353,0.971076
354,0.655645
355,0.982948
356,0.998160
357,0.921142
358,0.964511
359,0.986793
360,0.509490
361,0.987508
362,0.997399
363,0.967799
364,0.908321
365,0.994095
366,0.992442
367,0.966624
368,0.995368
369,0.976000
370,0.987732
371,0.983592
372,0.973897
373,0.912734
374,0.176801
375,0.940988
376,0.990676
377,0.517165
378,0.985817
379,0.994881
380,0.754899
381,0.914678
382,0.978080
383,0.999845
384,0.957585
385,0.948027
386,0.985357
387,0.954492
388,0.990719
389,0.988406
390,0.985682
391,0.776631
392,0.998011
393,0.968399
394,0.988441
395,0.944369
396,0.998774
397,0.996028
398,0.988913
399,0.981638
400,0.983517
401,0.988114
402,0.990037
403,0.991631
404,0.992871
405,0.996112
406,0.916559
407,0.978116
408,0.985671
409,0.983592
410,0.990594
411,0.997993
412,0.952467
413,0.956305
414,0.949073
415,0.953851
416,0.990724
417,0.993203
418,0.981244
419,0.994791
420,0.989675
421,0.999153
422,0.981169
423,0.968498
424,0.900755
425,0.979109
426,0.967522
427,0.996041
428,0.983346
429,0.987619
430,0.991740
431,0.983171
432,0.933285
433,0.980135
434,0.949040
435,0.992917
436,0.999761
437,0.982443
438,0.360671
439,0.983543
440,0.325754
441,0.975129
442,0.998881
443,0.996068
444,0.978492
445,0.939791
446,0.995977
447,0.910062
448,0.996251
449,0.981149
450,0.979119
451,0.975459
452,0.973025
453,0.991699
454,0.967269
455,0.964483
456,0.992579
457,0.992860
458,0.993483
459,0.998287
460,0.746334
461,0.775089
462,0.996333
463,0.995072
464,0.994405
465,0.983043
466,0.992828
467,0.189168
468,0.925743
469,0.994152
470,0.973634
471,0.984558
472,0.984899
473,0.993207
474,0.995832
475,0.981398
476,0.982894
